Home Team Name, Outcome, Home Team Goals, Away Team Goals, Goal Diff, X1, X2, Away Team Name, Location, Date
Wales,won,13,3,+10,5,0,England,Gloucester,6 Jan 1900
England,lost,3,13,-10,0,5,Wales,Gloucester,6 Jan 1900
Wales,won,12,3,+9,6,3,Scotland,Swansea,27 Jan 1900
Scotland,lost,3,12,-9,3,6,Wales,Swansea,27 Jan 1900
England,won,15,4,+11,7,4,Ireland,Richmond,3 Feb 1900
Ireland,lost,4,15,-11,4,7,England,Richmond,3 Feb 1900
Ireland,draw,0,0,0,-,-,Scotland,Lansdowne Road,24 Feb 1900
Scotland,draw,0,0,0,-,-,Ireland,Lansdowne Road,24 Feb 1900
England,draw,0,0,0,-,-,Scotland,Inverleith,10 Mar 1900
Scotland,draw,0,0,0,-,-,England,Inverleith,10 Mar 1900
Wales,won,3,0,+3,-,-,Ireland,Belfast,17 Mar 1900
Ireland,lost,0,3,-3,-,-,Wales,Belfast,17 Mar 1900
Germany,lost,17,27,-10,-,-,France XV,Paris,14 Oct 1900
Wales,won,13,0,+13,5,0,England,Cardiff,5 Jan 1901
England,lost,0,13,-13,0,5,Wales,Cardiff,5 Jan 1901
Scotland,won,18,8,+10,10,0,Wales,Inverleith,9 Feb 1901
Wales,lost,8,18,-10,0,10,Scotland,Inverleith,9 Feb 1901
Ireland,won,10,6,+4,5,3,England,Lansdowne Road,9 Feb 1901
England,lost,6,10,-4,3,5,Ireland,Lansdowne Road,9 Feb 1901
Scotland,won,9,5,+4,9,5,Ireland,Inverleith,23 Feb 1901
Ireland,lost,5,9,-4,5,9,Scotland,Inverleith,23 Feb 1901
Scotland,won,18,3,+15,15,0,England,Blackheath,9 Mar 1901
England,lost,3,18,-15,0,15,Scotland,Blackheath,9 Mar 1901
Wales,won,10,9,+1,5,9,Ireland,Swansea,16 Mar 1901
Ireland,lost,9,10,-1,9,5,Wales,Swansea,16 Mar 1901
Wales,won,9,8,+1,3,8,England,Blackheath,11 Jan 1902
England,lost,8,9,-1,8,3,Wales,Blackheath,11 Jan 1902
Wales,won,14,5,+9,14,5,Scotland,Cardiff,1 Feb 1902
Scotland,lost,5,14,-9,5,14,Wales,Cardiff,1 Feb 1902
England,won,6,3,+3,3,0,Ireland,Leicester,8 Feb 1902
Ireland,lost,3,6,-3,0,3,England,Leicester,8 Feb 1902
Ireland,won,5,0,+5,-,-,Scotland,Belfast,22 Feb 1902
Scotland,lost,0,5,-5,-,-,Ireland,Belfast,22 Feb 1902
Wales,won,15,0,+15,-,-,Ireland,Lansdowne Road,8 Mar 1902
Ireland,lost,0,15,-15,-,-,Wales,Lansdowne Road,8 Mar 1902
England,won,6,3,+3,6,0,Scotland,Inverleith,15 Mar 1902
Scotland,lost,3,6,-3,0,6,England,Inverleith,15 Mar 1902
Wales,won,21,5,+16,21,0,England,Swansea,10 Jan 1903
England,lost,5,21,-16,0,21,Wales,Swansea,10 Jan 1903
Scotland,won,6,0,+6,3,0,Wales,Inverleith,7 Feb 1903
Wales,lost,0,6,-6,0,3,Scotland,Inverleith,7 Feb 1903
Ireland,won,6,0,+6,6,0,England,Lansdowne Road,14 Feb 1903
England,lost,0,6,-6,0,6,Ireland,Lansdowne Road,14 Feb 1903
Scotland,won,3,0,+3,-,-,Ireland,Inverleith,28 Feb 1903
Ireland,lost,0,3,-3,-,-,Scotland,Inverleith,28 Feb 1903
Wales,won,18,0,+18,9,0,Ireland,Cardiff,14 Mar 1903
Ireland,lost,0,18,-18,0,9,Wales,Cardiff,14 Mar 1903
Scotland,won,10,6,+4,7,3,England,Richmond,21 Mar 1903
England,lost,6,10,-4,3,7,Scotland,Richmond,21 Mar 1903
New Zealand,won,22,3,+19,7,3,Australia,Sydney,15 Aug 1903
Australia,lost,3,22,-19,3,7,New Zealand,Sydney,15 Aug 1903
Great Britain,draw,10,10,0,5,10,South Africa,Johannesburg,26 Aug 1903
South Africa,draw,10,10,0,10,5,Britain,Johannesburg,26 Aug 1903
Great Britain,draw,0,0,0,-,-,South Africa,Kimberley,5 Sep 1903
South Africa,draw,0,0,0,-,-,Britain,Kimberley,5 Sep 1903
South Africa,won,8,0,+8,-,-,Britain,Cape Town,12 Sep 1903
Great Britain,lost,0,8,-8,-,-,South Africa,Cape Town,12 Sep 1903
England,draw,14,14,0,6,0,Wales,Leicester,9 Jan 1904
Wales,draw,14,14,0,0,6,England,Leicester,9 Jan 1904
Wales,won,21,3,+18,13,0,Scotland,Swansea,6 Feb 1904
Scotland,lost,3,21,-18,0,13,Wales,Swansea,6 Feb 1904
England,won,19,0,+19,3,0,Ireland,Blackheath,13 Feb 1904
Ireland,lost,0,19,-19,0,3,England,Blackheath,13 Feb 1904
Scotland,won,19,3,+16,3,0,Ireland,Lansdowne Road,27 Feb 1904
Ireland,lost,3,19,-16,0,3,Scotland,Lansdowne Road,27 Feb 1904
Ireland,won,14,12,+2,6,3,Wales,Belfast,12 Mar 1904
Wales,lost,12,14,-2,3,6,Ireland,Belfast,12 Mar 1904
Scotland,won,6,3,+3,3,0,England,Inverleith,19 Mar 1904
England,lost,3,6,-3,0,3,Scotland,Inverleith,19 Mar 1904
Great Britain,won,17,0,+17,-,-,Australia,Sydney,2 Jul 1904
Australia,lost,0,17,-17,-,-,Britain,Sydney,2 Jul 1904
Great Britain,won,17,3,+14,0,3,Australia,Brisbane,23 Jul 1904
Australia,lost,3,17,-14,3,0,Britain,Brisbane,23 Jul 1904
Great Britain,won,16,0,+16,3,0,Australia,Sydney,30 Jul 1904
Australia,lost,0,16,-16,0,3,Britain,Sydney,30 Jul 1904
New Zealand,won,9,3,+6,3,3,Britain,Wellington,13 Aug 1904
Great Britain,lost,3,9,-6,3,3,New Zealand,Wellington,13 Aug 1904
Wales,won,25,0,+25,11,0,England,Cardiff,14 Jan 1905
England,lost,0,25,-25,0,11,Wales,Cardiff,14 Jan 1905
Wales,won,6,3,+3,3,3,Scotland,Inverleith,4 Feb 1905
Scotland,lost,3,6,-3,3,3,Wales,Inverleith,4 Feb 1905
Ireland,won,17,3,+14,6,0,England,Cork,11 Feb 1905
England,lost,3,17,-14,0,6,Ireland,Cork,11 Feb 1905
Ireland,won,11,5,+6,5,0,Scotland,Inverleith,25 Feb 1905
Scotland,lost,5,11,-6,0,5,Ireland,Inverleith,25 Feb 1905
Wales,won,10,3,+7,10,3,Ireland,Swansea,11 Mar 1905
Ireland,lost,3,10,-7,3,10,Wales,Swansea,11 Mar 1905
Scotland,won,8,0,+8,-,-,England,Richmond,18 Mar 1905
England,lost,0,8,-8,-,-,Scotland,Richmond,18 Mar 1905
New Zealand,won,14,3,+11,3,3,Australia,Dunedin,2 Sep 1905
Australia,lost,3,14,-11,3,3,New Zealand,Dunedin,2 Sep 1905
New Zealand,won,12,7,+5,6,7,Scotland,Inverleith,18 Nov 1905
Scotland,lost,7,12,-5,7,6,New Zealand,Inverleith,18 Nov 1905
New Zealand,won,15,0,+15,5,0,Ireland,Lansdowne Road,25 Nov 1905
Ireland,lost,0,15,-15,0,5,New Zealand,Lansdowne Road,25 Nov 1905
New Zealand,won,15,0,+15,9,0,England,Crystal Palace,2 Dec 1905
England,lost,0,15,-15,0,9,New Zealand,Crystal Palace,2 Dec 1905
Wales,won,3,0,+3,3,0,New Zealand,Cardiff,16 Dec 1905
New Zealand,lost,0,3,-3,0,3,Wales,Cardiff,16 Dec 1905
New Zealand,won,38,8,+30,18,3,France,Parc des Princes,1 Jan 1906
France,lost,8,38,-30,3,18,New Zealand,Parc des Princes,1 Jan 1906
Wales,won,16,3,+13,13,3,England,Richmond,13 Jan 1906
England,lost,3,16,-13,3,13,Wales,Richmond,13 Jan 1906
Wales,won,9,3,+6,6,0,Scotland,Cardiff,3 Feb 1906
Scotland,lost,3,9,-6,0,6,Wales,Cardiff,3 Feb 1906
Ireland,won,16,6,+10,8,0,England,Leicester,10 Feb 1906
England,lost,6,16,-10,0,8,Ireland,Leicester,10 Feb 1906
Scotland,won,13,6,+7,10,0,Ireland,Lansdowne Road,24 Feb 1906
Ireland,lost,6,13,-7,0,10,Scotland,Lansdowne Road,24 Feb 1906
Ireland,won,11,6,+5,8,3,Wales,Belfast,10 Mar 1906
Wales,lost,6,11,-5,3,8,Ireland,Belfast,10 Mar 1906
England,won,9,3,+6,3,3,Scotland,Inverleith,17 Mar 1906
Scotland,lost,3,9,-6,3,3,England,Inverleith,17 Mar 1906
England,won,35,8,+27,22,0,France,Parc des Princes,22 Mar 1906
France,lost,8,35,-27,0,22,England,Parc des Princes,22 Mar 1906
Scotland,won,6,0,+6,-,-,South Africa,Glasgow,17 Nov 1906
South Africa,lost,0,6,-6,-,-,Scotland,Glasgow,17 Nov 1906
South Africa,won,15,12,+3,12,3,Ireland,Belfast,24 Nov 1906
Ireland,lost,12,15,-3,3,12,South Africa,Belfast,24 Nov 1906
South Africa,won,11,0,+11,6,0,Wales,Swansea,1 Dec 1906
Wales,lost,0,11,-11,0,6,South Africa,Swansea,1 Dec 1906
England,draw,3,3,0,0,3,South Africa,Crystal Palace,8 Dec 1906
South Africa,draw,3,3,0,3,0,England,Crystal Palace,8 Dec 1906
England,won,41,13,+28,13,13,France,Richmond,5 Jan 1907
France,lost,13,41,-28,13,13,England,Richmond,5 Jan 1907
Wales,won,22,0,+22,13,0,England,Swansea,12 Jan 1907
England,lost,0,22,-22,0,13,Wales,Swansea,12 Jan 1907
Scotland,won,6,3,+3,0,3,Wales,Inverleith,2 Feb 1907
Wales,lost,3,6,-3,3,0,Scotland,Inverleith,2 Feb 1907
Ireland,won,17,9,+8,14,0,England,Lansdowne Road,9 Feb 1907
England,lost,9,17,-8,0,14,Ireland,Lansdowne Road,9 Feb 1907
Scotland,won,15,3,+12,0,3,Ireland,Inverleith,23 Feb 1907
Ireland,lost,3,15,-12,3,0,Scotland,Inverleith,23 Feb 1907
Wales,won,29,0,+29,6,0,Ireland,Cardiff,9 Mar 1907
Ireland,lost,0,29,-29,0,6,Wales,Cardiff,9 Mar 1907
Scotland,won,8,3,+5,-,-,England,Blackheath,16 Mar 1907
England,lost,3,8,-5,-,-,Scotland,Blackheath,16 Mar 1907
New Zealand,won,26,6,+20,13,0,Australia,Sydney,20 Jul 1907
Australia,lost,6,26,-20,0,13,New Zealand,Sydney,20 Jul 1907
New Zealand,won,14,5,+9,0,5,Australia,Brisbane,3 Aug 1907
Australia,lost,5,14,-9,5,0,New Zealand,Brisbane,3 Aug 1907
Australia,draw,5,5,0,-,-,New Zealand,Sydney,10 Aug 1907
New Zealand,draw,5,5,0,-,-,Australia,Sydney,10 Aug 1907
England,won,19,0,+19,6,0,France,Colombes,1 Jan 1908
France,lost,0,19,-19,0,6,England,Colombes,1 Jan 1908
Wales,won,28,18,+10,15,8,England,Bristol,18 Jan 1908
England,lost,18,28,-10,8,15,Wales,Bristol,18 Jan 1908
