Home Team Name, Away Team name
Russia, Saudi Arabia
Egypt, Uruguay
Morocco, Iran
Portugal, Spain
France, Australia
Argentina, Costa Rica
Peru, Denmark
Croatia, Nigeria
Costa Rica, Serbia
Germany, Mexico
Brazil, Switzerland
Sweden, Korea
Belgium, Australia
Tunisia, England
Colombia, Japan
Poland, Senegal
Russia, Egypt
Portugal, Morocco
Uruguay, Saudi Arabia
Iran, Spain
Denmark, Australia
France, Peru
Argentina, Croatia
Brazil, Costa Rica
Nigeria, Costa Rica
Serbia, Switzerland
Belgium, Tunisia
Korea, Mexico
Germany, Sweden
England, Australia
Japan, Senegal
Poland, Colombia
Saudi Arabia, Egypt
Uruguay, Russia
Spain, Morocco
Iran, Portugal
Denmark, France
Australia, Peru
Nigeria, Argentina
Costa Rica, Croatia
Korea, Germany
Mexico, Sweden
Serbia, Brazil
Switzerland, Costa Rica
Japan, Poland
Senegal, Colombia
England, Belgium
Australia, Tunisia
